rack_name,latitude,longitude
"Albuquerque, NM",35.0844,-106.6504
"Bakersfield, CA",35.3733,-119.0187
"Barstow, CA",34.8958,-117.0228
"Bloomfield, NM",36.7067,-107.9848
"Brisbane, CA",37.6808,-122.4
"Cedar City, UT",37.6775,-113.0619
"Chico, CA",39.7285,-121.8375
"Ciniza, NM",35.0853,-106.6056
"Colton, CA",34.054,-117.3136
"El Paso, TX",31.7619,-106.485
"Eureka, CA",40.8021,-124.1637
"Flagstaff, AZ",35.1983,-111.6513
"Fresno, CA",36.7378,-119.7871
"Gallup, NM",35.5281,-108.7426
"Imperial, CA",32.8473,-115.5694
"Las Vegas, NV",36.1699,-115.1398
"Los Angeles, CA",34.0522,-118.2437
"Needles, CA",34.848,-114.6144
"Orange, CA",33.7879,-117.8531
"Phoenix, AZ",33.4484,-112.074
"Sacramento, CA",38.5816,-121.4944
"San Diego, CA",32.7157,-117.1611
"San Francisco, CA",37.7749,-122.4194
"San Jose, CA",37.3382,-121.8863
"Sparks/Reno, NV",39.5296,-119.8138
"Stockton, CA",37.9577,-121.2908
"Tucson, AZ",32.2226,-110.9747
"Yuma, AZ",32.6927,-114.6277
