FUELLOCATION_ID,StationName,Address,City,State,PostCode,Region,MSA,County,Latitude,Longitude,StoreBrand,SupplyBrand,GasBrand,CorpBrand,Phone,OPISTruckstop_ID,PrimaryRack_ID,PrimaryRack_Name,SecondaryRack_ID,SecondayRack_NAME,distance_to_primary_rack_miles,distance_to_secondary_rack_miles
522166,WOODYS FOOD STORE #102,51348 US HIGHWAY 60,Aguila,AZ,85320,Southwest,"Phoenix, AZ",Maricopa,33.9432320843,-113.1734530686,Woodys Food Store,Unbranded,Woodys Food Store,Woodys Enterprises LTD,(928)685-2352,,930,"Phoenix, AZ",860.0,"Barstow, CA",71.86103309685494,229.0543233320541
266435,CHEVRON,2001 N AJO GILA BEND HWY,Ajo,AZ,85321,Southwest,"Tucson, AZ",Pima,32.3931088837,-112.8726042405,Chevron,Chevron,Chevron,Chevron,(520)387-5853,,930,"Phoenix, AZ",980.0,"Tucson, AZ",86.38580448583049,111.46142821272109
559547,WHY NOT TRAVEL SERVICES,230 S SONOYTA WAY,Ajo,AZ,85321,Southwest,"Tucson, AZ",Pima,32.2636959164,-112.740944403,Texaco,Chevron,Texaco,Chevron,(520)387-7783,,930,"Phoenix, AZ",980.0,"Tucson, AZ",90.55174631004097,103.2610198755336
541799,SHELL,429 N 2ND AVE,Ajo,AZ,85321,Southwest,"Tucson, AZ",Pima,32.3750975313,-112.8726303692,Shell,Shell,Shell,Shell,(520)387-6200,,930,"Phoenix, AZ",980.0,"Tucson, AZ",87.44213823059243,111.34925906520763
434888,CIRCLE K #0228,560 N 2ND AVE,Ajo,AZ,85321,Southwest,"Tucson, AZ",Pima,32.375893,-112.872214,Circle K,Unbranded,Circle K,Couche-Tard,,,930,"Phoenix, AZ",980.0,"Tucson, AZ",87.3826167961454,111.32978172876736
652408,DESERT DIAMOND CONVENIENCE,HWY 86 MILE POST 55,Ajo,AZ,85321,Southwest,"Tucson, AZ",Pima,32.2439170633,-112.7267114107,Unbranded,Unbranded,Unbranded,Unbranded,(520)547-4321,,930,"Phoenix, AZ",980.0,"Tucson, AZ",91.44549351921601,102.41193290595851
124755,The TACKLE SHOP,US-191,Alpine,AZ,85920,Southwest,,Apache,33.8480430586,-109.1467433725,Unbranded,Unbranded,Unbranded,Unbranded,(928)339-4338,,617,"Ciniza, NM",580.0,"Albuquerque, NM",168.11369597526758,165.89015732708228
518182,CANYON FOOD MART,1000 E OLD WEST HWY,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.4074605445,-111.5355552373,76,PSX,76,PSX,(480)288-2811,,930,"Phoenix, AZ",980.0,"Tucson, AZ",31.179276282649198,88.11102078983727
677421,FRYS FUEL,150 E OLD WEST HWY,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.4127977229,-111.5448009968,Frys,Unbranded,Frys,Kroger,,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.615564779062964,88.65250427013113
652115,CIRCLE K #3442,1550 W APACHE TRL,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.415689,-111.562875,Circle K,Unbranded,Circle K,Couche-Tard,(480)982-6774,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.5603720811025,89.23404623458703
542428,MARATHON,1571 W APACHE TRL,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.414844,-111.563089,Marathon,Marathon,Marathon,Marathon,,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.552734583910205,89.18492987380331
159597,FOUR SONS FOOD STORE #501,1633 W SUPERSTITION BLVD,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.4220876735,-111.5637596014,Four Sons Food Store,Chevron,Chevron,Bro Retail Group Inc,(480)982-5222,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.477860888629465,89.6617804822026
565217,FRYS FUEL #7065 (DISCOUNT AVAILABLE),185 W APACHE TRL,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.4133325887,-111.5479628259,Frys,Unbranded,Frys,Kroger,(480)288-2140,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.43077129260971,88.75544693868153
620660,QUIKTRIP #437,21 E OLD WEST HWY,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.4119980144,-111.5454856836,QuikTrip,Unbranded,QuikTrip,QuikTrip,(480)288-9023,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.580845129446068,88.61616469297914
450377,CIRCLE K #1647,2341 S IRONWOOD DR,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.393831,-111.562913,Circle K,Unbranded,Circle K,Couche-Tard,(480)288-5648,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.71554576043052,87.84312489210006
420254,CIRCLE K #1556,2360 W BROADWAY AVE,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.407998,-111.571816,Circle K,Unbranded,Circle K,Couche-Tard,(480)982-2787,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.093784602299888,88.94500013758487
455540,VALERO IN THE ZONE VI,28 N SIGNAL BUTTE RD,Apache Junction,AZ,85220,Southwest,"Phoenix, AZ",Pinal,33.4157791991,-111.5984108338,Valero,Valero,Valero,Valero,(480)984-9125,,930,"Phoenix, AZ",980.0,"Tucson, AZ",27.517134704231868,90.04967296364774
339750,CIRCLE K #3444,2933 S TOMAHAWK RD,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.388147,-111.528275,Circle K,Unbranded,Circle K,Couche-Tard,(480)982-2701,,930,"Phoenix, AZ",980.0,"Tucson, AZ",31.748181277072035,86.71611925979032
170340,CIRCLE K #1989,3135 W SUPERSTITION BLVD,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.422045,-111.580144,Circle K,Unbranded,Circle K,Couche-Tard,(480)983-5343,,930,"Phoenix, AZ",980.0,"Tucson, AZ",28.53515045262019,90.02627197030856
455541,CHEVRON,3265 S GOLDFIELD RD,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.3853549398,-111.5109912836,Chevron,Chevron,Chevron,Chevron,(480)288-6640,,930,"Phoenix, AZ",980.0,"Tucson, AZ",32.762260156591644,86.16928971169237
455542,CHEVRON,3940 S IRONWOOD DR,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.3791838375,-111.5639651046,Chevron,Chevron,Chevron,Chevron,(480)288-0393,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.803403807307436,86.93674635447094
592996,ARIZONA FUEL,420 N APACHE TRL,Apache Junction,AZ,85220,Southwest,"Phoenix, AZ",Pinal,33.4191742301,-111.5464607298,76,PSX,76,PSX,,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.486700449155073,89.09680479232061
685922,FIREBIRD #4915,5060 S DELAWARE DR,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.369621,-111.572757,Unbranded,Unbranded,Unbranded,Unbranded,(602)286-1824,,930,"Phoenix, AZ",980.0,"Tucson, AZ",29.419635591089573,86.53417315499166
561571,FOUR SONS FOOD STORE #505,75 E 29TH AVE,Apache Junction,AZ,85119,Southwest,"Phoenix, AZ",Pinal,33.3882963089,-111.5457481506,Four Sons Food Store,Chevron,Chevron,Bro Retail Group Inc,(480)288-8401,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.748006457211094,87.1069567847862
170166,CIRCLE K #8746,85 W SUPERSTITION BLVD,Apache Junction,AZ,85120,Southwest,"Phoenix, AZ",Pinal,33.422047,-111.546505,Circle K,Unbranded,Circle K,Couche-Tard,(480)982-1005,,930,"Phoenix, AZ",980.0,"Tucson, AZ",30.471144805772866,89.28179536065782
321660,RICK MURPHYS SHELL,1198 W OLD US-66,Ash Fork,AZ,86320,Southwest,"Prescott, AZ",Yavapai,35.2185382646,-112.4986189802,Shell,Shell,Shell,Shell,(928)637-2580,,930,"Phoenix, AZ",910.0,"Las Vegas, NV",124.68835391624077,162.1311497591459
